"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A belépés tesztelése","3483","Hootel Login","test","Mon Mar 16 17:15:08 UTC 2026","passed","Mon Mar 16 17:15:12 UTC 2026","TestHootel","test_hootel","",""
"","1113","test_hotel_list","test","Mon Mar 16 17:15:14 UTC 2026","passed","Mon Mar 16 17:15:15 UTC 2026","TestHootel","test_hootel","",""
